"Category","Tool","Path"
"Git","aslr-manager.ps1","C:\Program Files\Git\cmd\aslr-manager.ps1"
"Git","git.exe","C:\Program Files\Git\cmd\git.exe"
"Git","git-gui.exe","C:\Program Files\Git\cmd\git-gui.exe"
"Git","gitk.exe","C:\Program Files\Git\cmd\gitk.exe"
"Git","git-lfs.exe","C:\Program Files\Git\cmd\git-lfs.exe"
"Git","git-receive-pack.exe","C:\Program Files\Git\cmd\git-receive-pack.exe"
"Git","git-upload-pack.exe","C:\Program Files\Git\cmd\git-upload-pack.exe"
"Git","scalar.exe","C:\Program Files\Git\cmd\scalar.exe"
"Git","start-ssh-agent.cmd","C:\Program Files\Git\cmd\start-ssh-agent.cmd"
"Git","start-ssh-pageant.cmd","C:\Program Files\Git\cmd\start-ssh-pageant.cmd"
"Git","tig.exe","C:\Program Files\Git\cmd\tig.exe"
"Rust/Cargo","cargo.exe","C:\Users\Mypc\.cargo\bin\cargo.exe"
"Rust/Cargo","cargo-clippy.exe","C:\Users\Mypc\.cargo\bin\cargo-clippy.exe"
"Rust/Cargo","cargo-fmt.exe","C:\Users\Mypc\.cargo\bin\cargo-fmt.exe"
"Rust/Cargo","cargo-miri.exe","C:\Users\Mypc\.cargo\bin\cargo-miri.exe"
"Rust/Cargo","clippy-driver.exe","C:\Users\Mypc\.cargo\bin\clippy-driver.exe"
"Rust/Cargo","rls.exe","C:\Users\Mypc\.cargo\bin\rls.exe"
"Rust/Cargo","rust-analyzer.exe","C:\Users\Mypc\.cargo\bin\rust-analyzer.exe"
"Rust/Cargo","rustc.exe","C:\Users\Mypc\.cargo\bin\rustc.exe"
"Rust/Cargo","rustdoc.exe","C:\Users\Mypc\.cargo\bin\rustdoc.exe"
"Rust/Cargo","rustfmt.exe","C:\Users\Mypc\.cargo\bin\rustfmt.exe"
"Rust/Cargo","rust-gdb.exe","C:\Users\Mypc\.cargo\bin\rust-gdb.exe"
"Rust/Cargo","rust-gdbgui.exe","C:\Users\Mypc\.cargo\bin\rust-gdbgui.exe"
"Rust/Cargo","rust-lldb.exe","C:\Users\Mypc\.cargo\bin\rust-lldb.exe"
"Rust/Cargo","rustup.exe","C:\Users\Mypc\.cargo\bin\rustup.exe"
